timestamp,text
11/15/2020 5:44,@TokopediaCare Yang tanggal 30 september 2020
11/15/2020 5:35,"@TokopediaCare tolong min, orderan dengan INV/20201110/XX/XI/671557202ini knp bermasalah ya, ga sampe2."
11/15/2020 5:26,@TokopediaCare mau tanya dapat kupon untuk prakerja status transaksi berhasil di prakerja cuma ga tahu kemaren logi… https://t.co/wK4gzhvAE3
11/15/2020 5:20,@TokopediaCare mnt tlong cek DM dong.
11/15/2020 5:11,"@TokopediaCare INV/20201115/XX/XI/675769345 tolong di cancel, karena pembeli berubah pikiran."
11/15/2020 5:08,"@TokopediaCare: min, emas di tokped itu cuma buat beli virtual ya? Ga bisa ditarik dalam bentuk emas?"
11/15/2020 4:47,@TokopediaCare baik terima kasih
11/15/2020 4:43,@tokopedia @TokopediaCare mohon melakukan cancel pesanan INV/20201115/XX/XI/675904682. Details terlampir di DM. Trims
11/15/2020 4:31,"@TokopediaCare IVR/20201115/XX/XI/560810315
Mohon batalkan invoice ini. Saya salah mengisi kartu, malah kartu org lain
 Tlg bantuannua"
11/15/2020 4:28,"@TokopediaCare Hi Admin, sudah saya infokan via DM ya, mohon dicek. Terima kasih."
11/15/2020 4:17,@TokopediaCare Mohon cek dm kembali. Masalah saya masih belum terselesaikan. Thanks
11/15/2020 4:14,@TokopediaCare saldo penjualan kira-kira masuknya berapa lama ya? ini sudah hampir 1x24 jam tp belum masuk juga huhu
11/15/2020 4:13,@TokopediaCare Tmen saya kena suspen min...gmn nih pertanggung jawabanya https://t.co/20UgNAsjiC
11/15/2020 4:11,@TokopediaCare Gak ada DM kak. Duuu
11/15/2020 4:01,@JNECare @JNE_ID @TokopediaCare mohon cek DM ya saya bagikan no invoice tokped dan resi JNE. Terima kasih.
11/15/2020 3:52,"@TokopediaCare Oke, terimakasih"
11/15/2020 3:50,"@JNECare @JNE_ID @TokopediaCare Hi saya menerima notifikasi barang sampai dari Tokped dengan ekspedisi JNE, tapi sa… https://t.co/IlfyNdtWsX"
